Bin,Omega,HistogramDD,HistogramDR,HistogramRR
89.75-90.00,-0.039281,2438,69850,132074
90.00-90.25,0.000000,0,0,0
90.25-90.50,0.000000,0,0,0
90.50-90.75,0.000000,0,0,0
90.75-91.00,0.000000,0,0,0
91.00-91.25,0.000000,0,0,0
91.25-91.50,0.000000,0,0,0
91.50-91.75,0.000000,0,0,0
91.75-92.00,0.000000,0,0,0
92.00-92.25,0.000000,0,0,0
92.25-92.50,0.000000,0,0,0
92.50-92.75,0.000000,0,0,0
92.75-93.00,0.000000,0,0,0
93.00-93.25,0.000000,0,0,0
93.25-93.50,0.000000,0,0,0
93.50-93.75,0.000000,0,0,0
93.75-94.00,0.000000,0,0,0
94.00-94.25,0.000000,0,0,0
94.25-94.50,0.000000,0,0,0
94.50-94.75,0.000000,0,0,0
94.75-95.00,0.000000,0,0,0
95.00-95.25,0.000000,0,0,0
95.25-95.50,0.000000,0,0,0
95.50-95.75,0.000000,0,0,0
95.75-96.00,0.000000,0,0,0
96.00-96.25,0.000000,0,0,0
96.25-96.50,0.000000,0,0,0
96.50-96.75,0.000000,0,0,0
96.75-97.00,0.000000,0,0,0
97.00-97.25,0.000000,0,0,0
97.25-97.50,0.000000,0,0,0
97.50-97.75,0.000000,0,0,0
97.75-98.00,0.000000,0,0,0
98.00-98.25,0.000000,0,0,0
98.25-98.50,0.000000,0,0,0
98.50-98.75,0.000000,0,0,0
98.75-99.00,0.000000,0,0,0
99.00-99.25,0.000000,0,0,0
99.25-99.50,0.000000,0,0,0
99.50-99.75,0.000000,0,0,0
99.75-100.00,0.000000,0,0,0
100.00-100.25,0.000000,0,0,0
100.25-100.50,0.000000,0,0,0
100.50-100.75,0.000000,0,0,0
100.75-101.00,0.000000,0,0,0
101.00-101.25,0.000000,0,0,0
101.25-101.50,0.000000,0,0,0
101.50-101.75,0.000000,0,0,0
101.75-102.00,0.000000,0,0,0
102.00-102.25,0.000000,0,0,0
102.25-102.50,0.000000,0,0,0
102.50-102.75,0.000000,0,0,0
102.75-103.00,0.000000,0,0,0
103.00-103.25,0.000000,0,0,0
103.25-103.50,0.000000,0,0,0
103.50-103.75,0.000000,0,0,0
103.75-104.00,0.000000,0,0,0
104.00-104.25,0.000000,0,0,0
104.25-104.50,0.000000,0,0,0
104.50-104.75,0.000000,0,0,0
104.75-105.00,0.000000,0,0,0
105.00-105.25,0.000000,0,0,0
105.25-105.50,0.000000,0,0,0
105.50-105.75,0.000000,0,0,0
105.75-106.00,0.000000,0,0,0
106.00-106.25,0.000000,0,0,0
106.25-106.50,0.000000,0,0,0
106.50-106.75,0.000000,0,0,0
106.75-107.00,0.000000,0,0,0
107.00-107.25,0.000000,0,0,0
107.25-107.50,0.000000,0,0,0
107.50-107.75,0.000000,0,0,0
107.75-108.00,0.000000,0,0,0
108.00-108.25,0.000000,0,0,0
108.25-108.50,0.000000,0,0,0
108.50-108.75,0.000000,0,0,0
108.75-109.00,0.000000,0,0,0
109.00-109.25,0.000000,0,0,0
109.25-109.50,0.000000,0,0,0
109.50-109.75,0.000000,0,0,0
109.75-110.00,0.000000,0,0,0
110.00-110.25,0.000000,0,0,0
110.25-110.50,0.000000,0,0,0
110.50-110.75,0.000000,0,0,0
110.75-111.00,0.000000,0,0,0
111.00-111.25,0.000000,0,0,0
111.25-111.50,0.000000,0,0,0
111.50-111.75,0.000000,0,0,0
111.75-112.00,0.000000,0,0,0
112.00-112.25,0.000000,0,0,0
112.25-112.50,0.000000,0,0,0
112.50-112.75,0.000000,0,0,0
112.75-113.00,0.000000,0,0,0
113.00-113.25,0.000000,0,0,0
113.25-113.50,0.000000,0,0,0
113.50-113.75,0.000000,0,0,0
113.75-114.00,0.000000,0,0,0
114.00-114.25,0.000000,0,0,0
114.25-114.50,0.000000,0,0,0
114.50-114.75,0.000000,0,0,0
114.75-115.00,0.000000,0,0,0
115.00-115.25,0.000000,0,0,0
115.25-115.50,0.000000,0,0,0
115.50-115.75,0.000000,0,0,0
115.75-116.00,0.000000,0,0,0
116.00-116.25,0.000000,0,0,0
116.25-116.50,0.000000,0,0,0
116.50-116.75,0.000000,0,0,0
116.75-117.00,0.000000,0,0,0
117.00-117.25,0.000000,0,0,0
117.25-117.50,0.000000,0,0,0
117.50-117.75,0.000000,0,0,0
117.75-118.00,0.000000,0,0,0
118.00-118.25,0.000000,0,0,0
118.25-118.50,0.000000,0,0,0
118.50-118.75,0.000000,0,0,0
118.75-119.00,0.000000,0,0,0
119.00-119.25,0.000000,0,0,0
119.25-119.50,0.000000,0,0,0
119.50-119.75,0.000000,0,0,0
119.75-120.00,0.000000,0,0,0
120.00-120.25,0.000000,0,0,0
120.25-120.50,0.000000,0,0,0
120.50-120.75,0.000000,0,0,0
120.75-121.00,0.000000,0,0,0
121.00-121.25,0.000000,0,0,0
121.25-121.50,0.000000,0,0,0
121.50-121.75,0.000000,0,0,0
121.75-122.00,0.000000,0,0,0
122.00-122.25,0.000000,0,0,0
122.25-122.50,0.000000,0,0,0
122.50-122.75,0.000000,0,0,0
122.75-123.00,0.000000,0,0,0
123.00-123.25,0.000000,0,0,0
123.25-123.50,0.000000,0,0,0
123.50-123.75,0.000000,0,0,0
123.75-124.00,0.000000,0,0,0
124.00-124.25,0.000000,0,0,0
124.25-124.50,0.000000,0,0,0
124.50-124.75,0.000000,0,0,0
124.75-125.00,0.000000,0,0,0
125.00-125.25,0.000000,0,0,0
125.25-125.50,0.000000,0,0,0
125.50-125.75,0.000000,0,0,0
125.75-126.00,0.000000,0,0,0
126.00-126.25,0.000000,0,0,0
126.25-126.50,0.000000,0,0,0
126.50-126.75,0.000000,0,0,0
126.75-127.00,0.000000,0,0,0
127.00-127.25,0.000000,0,0,0
127.25-127.50,0.000000,0,0,0
127.50-127.75,0.000000,0,0,0
127.75-128.00,0.000000,0,0,0
128.00-128.25,0.000000,0,0,0
128.25-128.50,0.000000,0,0,0
128.50-128.75,0.000000,0,0,0
128.75-129.00,0.000000,0,0,0
129.00-129.25,0.000000,0,0,0
129.25-129.50,0.000000,0,0,0
129.50-129.75,0.000000,0,0,0
129.75-130.00,0.000000,0,0,0
130.00-130.25,0.000000,0,0,0
130.25-130.50,0.000000,0,0,0
130.50-130.75,0.000000,0,0,0
130.75-131.00,0.000000,0,0,0
131.00-131.25,0.000000,0,0,0
131.25-131.50,0.000000,0,0,0
131.50-131.75,0.000000,0,0,0
131.75-132.00,0.000000,0,0,0
132.00-132.25,0.000000,0,0,0
132.25-132.50,0.000000,0,0,0
132.50-132.75,0.000000,0,0,0
132.75-133.00,0.000000,0,0,0
133.00-133.25,0.000000,0,0,0
133.25-133.50,0.000000,0,0,0
133.50-133.75,0.000000,0,0,0
133.75-134.00,0.000000,0,0,0
134.00-134.25,0.000000,0,0,0
134.25-134.50,0.000000,0,0,0
134.50-134.75,0.000000,0,0,0
134.75-135.00,0.000000,0,0,0
135.00-135.25,0.000000,0,0,0
135.25-135.50,0.000000,0,0,0
135.50-135.75,0.000000,0,0,0
135.75-136.00,0.000000,0,0,0
136.00-136.25,0.000000,0,0,0
136.25-136.50,0.000000,0,0,0
136.50-136.75,0.000000,0,0,0
136.75-137.00,0.000000,0,0,0
137.00-137.25,0.000000,0,0,0
137.25-137.50,0.000000,0,0,0
137.50-137.75,0.000000,0,0,0
137.75-138.00,0.000000,0,0,0
138.00-138.25,0.000000,0,0,0
138.25-138.50,0.000000,0,0,0
138.50-138.75,0.000000,0,0,0
138.75-139.00,0.000000,0,0,0
139.00-139.25,0.000000,0,0,0
139.25-139.50,0.000000,0,0,0
139.50-139.75,0.000000,0,0,0
139.75-140.00,0.000000,0,0,0
140.00-140.25,0.000000,0,0,0
